permno,date,ticker,comnam,prc,ret,mom_12m,annual_div_ps,dividend_field_used,dividend_yield,mom_score,div_score,combined_score,is_price_up,is_high_dividend,passes_screen,screen_rank,next_ret
46463,2024-02-29,GFF,GRIFFON CORP,71.4,0.228115,1.1071748074344967,2.36,dvpsx_f,0.0330532212885154,0.9463878326996198,0.8422053231939164,0.8942965779467681,True,True,True,8.0,0.027171
81728,2024-02-29,NHTC,NATURAL HEALTH TRENDS CORP,6.24,0.015773,0.41053641846313504,0.8,dvpsx_f,0.12363096808230056,0.7920152091254753,0.9956273764258555,0.8938212927756655,True,True,True,9.0,0.073718
85796,2024-02-29,SCS,STEELCASE INC,13.74,0.083596,0.8189464606534238,0.49,dvpsx_f,0.03566229985443959,0.9144486692015209,0.8612167300380228,0.8878326996197718,True,True,True,10.0,-0.048035
91184,2024-03-31,GYRE,GYRE THERAPEUTICS INC,17.48,-0.036384,4.629634275302379,1.43,dvpsx_f,0.08180778032036613,0.9950720242608037,0.978013646702047,0.9865428354814254,True,True,True,1.0,-0.107551
84411,2024-03-31,CCEL,CRYO CELL INTERNATIONAL INC,7.46,0.434615,1.470118787474199,0.9,dvpsx_f,0.11539050916083751,0.9564063684609553,0.9954510993176648,0.9759287338893101,True,True,True,2.0,0.113941
85903,2024-03-31,CIX,COMPX INTERNATIONAL INC,34.3,0.484341,0.9793541434236903,2.75,dvpsx_f,0.08017492711370262,0.9112964366944655,0.976497346474602,0.9438968915845337,True,True,True,3.0,-0.081924
18150,2024-03-31,ETRN,EQUITRANS MIDSTREAM CORP,12.49,0.168382,1.3008058088274512,0.6,dvpsx_f,0.04803843074459568,0.9431387414708112,0.931008339651251,0.9370735405610311,True,True,True,4.0,0.083267
90464,2024-03-31,SPOK,SPOK HOLDINGS INC,15.95,-0.09502,0.7154585004612719,1.25,dvpsx_f,0.07836990595611286,0.8639120545868082,0.9753601213040182,0.9196360879454132,True,True,True,5.0,-0.031348
46463,2024-03-31,GFF,GRIFFON CORP,73.34,0.027171,1.4660010551656129,2.45,dvpsx_f,0.033406053995091355,0.9556482183472328,0.8574677786201668,0.9065579984836998,True,True,True,6.0,-0.106627
85401,2024-03-31,SIGA,S I G A TECHNOLOGIES INC,8.56,0.758157,0.7208308754939385,0.45,dvpsx_f,0.052570093457943924,0.8658074298711145,0.9423805913570887,0.9040940106141016,True,True,True,7.0,0.025701
81728,2024-03-31,NHTC,NATURAL HEALTH TRENDS CORP,6.7,0.073718,0.5605064677644174,0.8,dvpsx_f,0.11539050916083751,0.8089461713419257,0.9954510993176648,0.9021986353297953,True,True,True,8.0,0.002985
62228,2024-03-31,FEIM,FREQUENCY ELECTRONICS INC,10.89,0.014912,0.5805504852114927,1.0,dvpsx_f,0.09182736455463728,0.8165276724791509,0.9829416224412434,0.8997346474601972,True,True,True,9.0,-0.118457
19577,2024-03-31,RKT,ROCKET COMPANIES INC,14.55,0.158439,0.6059600823699345,1.01,dvpsx_f,0.06941580756013746,0.8263836239575436,0.969294920394238,0.8978392721758908,True,True,True,10.0,-0.156014
91184,2024-04-30,GYRE,GYRE THERAPEUTICS INC,15.6,-0.107551,3.905665137952102,1.43,dvpsx_f,0.09166666666666666,0.9941770186335404,0.9805900621118012,0.9873835403726707,True,True,True,1.0,-0.271795
85903,2024-04-30,CIX,COMPX INTERNATIONAL INC,31.49,-0.081924,0.8151899345102791,2.75,dvpsx_f,0.08732931089234679,0.90722049689441,0.9782608695652174,0.9427406832298137,True,True,True,2.0,-0.234995
18150,2024-04-30,ETRN,EQUITRANS MIDSTREAM CORP,13.53,0.083267,1.7972823953579127,0.6,dvpsx_f,0.04434589800443459,0.9755434782608695,0.9087732919254659,0.9421583850931676,True,True,True,3.0,0.066519
46463,2024-04-30,GFF,GRIFFON CORP,65.52,-0.106627,1.478730807401642,2.45,dvpsx_f,0.0373931623931624,0.9654503105590062,0.8684006211180124,0.9169254658385093,True,True,True,4.0,0.03312
85401,2024-04-30,SIGA,S I G A TECHNOLOGIES INC,8.78,0.025701,0.7408376752492649,0.45,dvpsx_f,0.05125284738041003,0.8889751552795031,0.9347826086956522,0.9118788819875776,True,True,True,5.0,-0.148064
47861,2024-04-30,SGC,SUPERIOR GROUP OF COMPANIES INC,16.27,-0.015133,1.203732844287718,0.54,dvpsx_f,0.03318992009834051,0.953416149068323,0.8388975155279503,0.8961568322981366,True,True,True,6.0,0.267978
62228,2024-04-30,FEIM,FREQUENCY ELECTRONICS INC,9.6,-0.118457,0.46901262275987454,1.0,dvpsx_f,0.10416666666666667,0.8000776397515528,0.984860248447205,0.8924689440993789,True,True,True,7.0,-0.0625
63773,2024-04-30,TDS,TELEPHONE & DATA SYSTEMS INC,15.65,-0.023096,0.6520067777845031,0.72,dvpsx_f,0.04600638977635783,0.8707298136645962,0.9138198757763976,0.8922748447204969,True,True,True,8.0,0.270927
14229,2024-04-30,OMF,ONEMAIN HOLDINGS INC,52.11,0.019965,0.4922318041163465,3.8,dvpsx_f,0.07292266359623872,0.8140527950310559,0.9670031055900621,0.890527950310559,True,True,True,9.0,-0.037421
16592,2024-04-30,METC,RAMACO RESOURCES INC,15.68,-0.068884,1.5739146212619768,0.4525,dvpsx_f,0.02885841836734694,0.96972049689441,0.8090062111801242,0.8893633540372671,True,True,True,10.0,-0.088807
91184,2024-05-31,GYRE,GYRE THERAPEUTICS INC,11.36,-0.271795,2.442426476273745,1.43,dvpsx_f,0.12588028169014084,0.9852770244091438,0.9907012785741961,0.9879891514916699,True,True,True,1.0,0.050176
